Book,Author,Original_Language,First_Published,Approximate_Sales,Genre_1,Genre_2,Genre_3,Genre_4,Genre_5,Genre_6
The Lion, the Witch and the Wardrobe,C.S. Lewis,English,1950,85 million[36],Fantasy, children's fiction
She: A History of Adventure,H. Rider Haggard,English,1887,83 million[37],Adventure
The Da Vinci Code,Dan Brown,English,2003,80 million[38],Mystery thriller
Harry Potter and the Chamber of Secrets,J. K. Rowling,English,1998,77 million[39],Fantasy, children's fiction
The Catcher in the Rye,J. D. Salinger,English,1951,65 million[40],Coming-of-age
The Bridges of Madison County,Robert James Waller,English,1992,60 million[41],Romance
One Hundred Years of Solitude (Cien años de soledad),Gabriel García Márquez,Spanish,1967,50 million[42][43][44],Magic realism
Lolita,Vladimir Nabokov,English,1955,50 million[45],Novel
Heidi,Johanna Spyri,German,1880,50 million[46],Children's fiction
The Common Sense Book of Baby and Child Care,Benjamin Spock,English,1946,50 million[47],Manual
Anne of Green Gables,Lucy Maud Montgomery,English,1908,50 million[48],Children's novel
Black Beauty,Anna Sewell,English,1877,50 million[49],Children's literature
The Name of the Rose (Il Nome della Rosa),Umberto Eco,Italian,1980,50 million[50],Historical novel, mystery
The Eagle Has Landed,Jack Higgins,English,1975,50 million[51],War, thriller
Watership Down,Richard Adams,English,1972,50 million[52],Children's fiction
The Hite Report,Shere Hite,English,1976,50 million[53],nonfiction
Charlotte's Web,E. B. White; illustrated by Garth Williams,English,1952,50 million[54],Children's fiction
The Ginger Man,J. P. Donleavy,English,1955,50 million[55],Novel
The Purpose Driven Life,Rick Warren,English,2002,50 million[56],Philosophical Manual
